"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\sharing_dialog\ask_sharing_password_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 15, 124
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\text_dialog\discard_changes_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\text_dialog\save_text_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 12, 87
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 11, 79
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\offline_mode.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 39, 153
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\picker_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 18, 79
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\process_audio.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\models\update_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 41, 176
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\comment_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 57, 294
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\create_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 54, 269
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2356, 0, 0, 0, 800, 3156
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\main_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 17, 120
